County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
JEFFERSON,JEFFERSON,18,18,27,30,20,14,7,12,18,16,21,24,218,18,0,0,2017
LEWIS,LEWIS,0,9,7,5,5,0,8,0,6,0,0,11,80,0,0,0,2017
LIVINGSTON,LIVINGSTON,17,15,19,19,8,11,14,18,11,15,15,16,162,23,19,0,2017
MADISON,MADISON,7,6,10,7,11,8,10,8,6,7,7,8,101,0,8,0,2017
MONROE,MONROE,293,253,270,249,241,237,233,207,242,202,185,191,2976,93,391,44,2017
MONTGOMERY,MONTGOMERY,27,26,29,33,27,23,27,10,19,16,10,14,225,55,26,5,2017
NASSAU,NASSAU,403,445,418,361,293,285,261,253,294,360,351,397,3939,0,466,0,2017
NEW YORK,NEW YORK,1618,1574,1519,1373,1281,1317,1119,1080,1994,1737,1354,1196,12131,60,6756,1342,2017
BRONX,BRONX,3739,3714,3652,3475,3046,3003,2685,2425,2709,2076,1562,1357,23395,65,14742,1765,2017
KINGS,KINGS,2798,2781,2715,2615,2463,2247,1879,1690,2271,2011,1426,1535,18463,82,11174,1538,2017
QUEENS,QUEENS,1763,1820,1765,1812,1687,1505,1270,1259,1622,1190,827,814,14980,69,4341,847,2017
RICHMOND,RICHMOND,250,251,264,243,233,187,200,154,222,217,126,121,1906,8,810,185,2017
NIAGARA,NIAGARA,39,41,30,45,28,36,28,30,33,41,29,25,373,25,55,0,2017
ONEIDA,ONEIDA,45,39,32,47,26,29,16,23,34,40,20,53,422,15,28,0,2017
ONONDAGA,ONONDAGA,201,207,178,170,157,159,166,159,202,155,121,161,1861,55,369,18,2017
ONTARIO,ONTARIO,30,35,36,27,25,21,28,17,24,25,18,23,283,63,0,0,2017
ORANGE,ORANGE,169,174,175,176,153,133,132,117,153,133,115,131,1452,298,244,8,2017
ORLEANS,ORLEANS,0,5,5,7,5,6,0,5,6,5,0,8,53,0,15,0,2017
OSWEGO,OSWEGO,88,71,82,56,58,44,41,55,58,43,61,99,726,0,93,0,2017
OTSEGO,OTSEGO,13,11,11,10,7,6,5,0,0,0,7,11,72,15,17,0,2017
PUTNAM,PUTNAM,8,5,9,11,8,0,5,0,7,5,0,0,53,5,20,0,2017
RENSSELAER,RENSSELAER,52,56,40,43,49,47,41,40,40,31,31,32,423,0,130,0,2017
ROCKLAND,ROCKLAND,31,51,48,50,56,52,73,59,104,76,71,58,610,54,115,0,2017
SAINT LAWRENCE,SAINT LAWRENCE,48,59,33,39,46,45,42,42,38,29,50,68,576,0,40,0,2017
SARATOGA,SARATOGA,53,55,43,53,47,42,41,38,57,65,52,50,531,76,0,0,2017
SCHENECTADY,SCHENECTADY,44,54,61,47,39,45,37,25,47,22,14,23,280,26,234,0,2017
SCHOHARIE,SCHOHARIE,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,2017
SCHUYLER,SCHUYLER,5,0,0,6,5,0,0,0,0,0,0,0,36,0,0,0,2017
SENECA,SENECA,15,7,6,9,0,7,8,7,10,11,7,17,90,21,0,0,2017
